1;Exist Sfax1;Sfax;34, Habib Thamer;NULL;NULL
2;Exist Corniche Sfax;Sfax;107, Rue Haffouz;NULL;NULL
3;Exist Ennasr;Tunis;Résidence Elforum Av. Hedi Nouir;NULL;NULL
4;Exist Lafayette;tunis;45, Rue de Palastine;NULL;NULL
5;Exist Habib Thameur;Tunis;9 , Avenue Habib Thamer;NULL;NULL
6;Exist Soukra;Ariana;Avenue de l'UMA,Soukra;NULL;NULL
7;Exist Sousse Khezema;Sousse;Rue de la perle de Sahel;NULL;NULL
8;Exist Nabeul1;Nabeul;Rue Habib Bourguiba;NULL;NULL
9;Exist Kairouan;Kairouan;Rue Monji Bali;NULL;NULL
10;Exist Manar;Tunis;Elamanar 2;NULL;NULL
11;Exist Gabes1;Gabes;Rue Farhat Hached;NULL;NULL
12;Exist Bizerte;Bizert;Rue hbib bourguiba RDC hotel Fath;NULL;NULL
13;Exist yougoslavie;Tunis;Rue yougozlavie;NULL;NULL
14;Exist Sahloul Sousse;Sousse;Sahloul;NULL;NULL
15;Exist Kelibia;Klebia;RDC imm tanit centre rue alibalhwen;NULL;NULL
16;Exist Central Park;Tunis;Jean Jaures;NULL;NULL
17;Exist Mahdia;Mahdia;Imm, AV Hbib Bourguiba N56;NULL;NULL
18;Exist Gafsa;gafsa;;NULL;NULL
19;Exist Av.de Paris;tunis;45, Rue de Paris;NULL;NULL
20;Exist Av. de Londres;tunis;45, Rue de londre;NULL;NULL
23;Exist El Borj;Sfax;Ennasria EL borj;NULL;NULL
24;Exist Monastir;MONASTIR;Monastir;NULL;NULL
25;Exist Hammamet;Hammamet;;NULL;NULL
26;Exist Djerba1;Djerba;Djerba Midoun;NULL;NULL
27;Exist Gabes2;Gabes;;NULL;NULL
28;Exist Tunis mall;tunis;Lac 2;NULL;NULL
29;Exist Megrine;tunis;Megrine sidi rzig;NULL;NULL
30;Exist Sousse H.Bourguiba;Sousse;Centre ville;NULL;NULL
31;Exist Aouina;tunis;Aouina;NULL;NULL
32;Exist Djerba 2;Djerba;Houmt Essouk Djerba;NULL;NULL
33;Exist Zarzis;Zarzis;;NULL;NULL
34;Exist Nabeul3;Nabeul;Nabeul;NULL;NULL
35;Exist Tunis City;tunis;;NULL;NULL
36;Exist Sidi Bouzid;sidi bouzid;;NULL;NULL
37;Exist Bourgo Mall;Djerba;;NULL;NULL
38;Exist Rue Hollande;Tunis;;NULL;NULL
39;Exist Nasria2;Sfax;Ennasria;NULL;NULL
40;Exist Manzah 8;tunis;Manzah 8;NULL;NULL
41;Exist Azur City;tunis;Tunis;NULL;NULL
42;Exist Mall Of Sousse;sousse;Hammem sousse;NULL;NULL
43;Exist Teniour;Sfax;taniour km 3;NULL;NULL
44;EXIST Rue de la liberté;tunis;Rue de la liberté;NULL;NULL
45;Exist Bardo;tunis;Bardo;NULL;NULL
46;Exist Kef;KEF;Kef;NULL;NULL
47;Exist Siliana;SILIANA;siliana;NULL;NULL
48;Exist Beja;Beja;Beja;NULL;NULL
49;Exist Mall of Sfax;Sfax;;NULL;NULL
50;Exist Jendouba;JENDOUBA;;NULL;NULL
999;SIEGE EXIST;SFAX;SFAX;NULL;NULL
