001;Exist Sfax1;34, Habib Thamer;Sfax;SUC
002;Exist Corniche Sfax;107, Rue Haffouz;Sfax;SUC
003;Exist Ennasr;Résidence Elforum Av. Hedi Nouir;Tunis;SUC
004;Exist Lafayette;45, Rue de Palastine;tunis;SUC
005;Exist Habib Thameur;9 , Avenue Habib Thamer;Tunis;SUC
006;Exist Soukra;Avenue de l'UMA,Soukra;Ariana;SUC
007;Exist Sousse Khezema;Rue de la perle de Sahel;Sousse;SUC
008;Exist Nabeul1;Rue Habib Bourguiba;Nabeul;SUC
009;Exist Kairouan;Rue Monji Bali;Kairouan;SUC
010;Exist Manar;Elamanar 2;Tunis;SUC
011;Exist Gabes1;Rue Farhat Hached;Gabes;SUC
012;Exist Bizerte;Rue hbib bourguiba RDC hotel Fath;Bizert;SUC
013;Exist yougoslavie;Rue yougozlavie;Tunis;SUC
014;Exist Sahloul Sousse;Sahloul;Sousse;SUC
015;Exist Kelibia;RDC imm tanit centre rue alibalhwen;Klebia;SUC
016;Exist Central Park;Jean Jaures;Tunis;SUC
017;Exist Mahdia;Imm, AV Hbib Bourguiba N°56;Mahdia;SUC
018;Exist Gafsa;;gafsa;SUC
019;Exist Av.de Paris;45, Rue de Paris;tunis;SUC
020;Exist Av. de Londres;45, Rue de londre;tunis;SUC
021;Exist Nabeul 2;Rue Habib Bourguiba;Nabeul;SUC
022;Exist Sfax 2;34, Habib Thamer;Sfax;SUC
023;Exist El Borj;Ennasria EL borj;Sfax;SUC
024;Exist Monastir;Monastir;MONASTIR;SUC
025;Exist Hammamet;;Hammamet;SUC
026;Exist Djerba1;Djerba Midoun;Djerba;SUC
027;Exist Gabes2;;Gabes;SUC
028;Exist Tunis mall;Lac 2;tunis;SUC
029;Exist Megrine;Megrine sidi rzig;tunis;SUC
030;Exist Sousse H.Bourguiba;Centre ville;Sousse;SUC
031;Exist Aouina;Aouina;tunis;SUC
032;Exist Djerba 2;Houmt Essouk Djerba;Djerba;SUC
033;Exist Zarzis;;Zarzis;SUC
034;Exist Nabeul3;Nabeul;Nabeul;SUC
035;Exist Tunis City;;tunis;SUC
036;Exist Sidi Bouzid;;sidi bouzid;SUC
037;Exist Bourgo Mall;;Djerba;SUC
038;Exist Rue Hollande;;Tunis;SUC
039;Exist Nasria2;Ennasria;Sfax;SUC
040;Exist Manzah 8;Manzah 8;tunis;SUC
041;Exist Azur City;Tunis;tunis;SUC
042;Exist Mall Of Sousse;Hammem sousse;sousse;SUC
043;Exist Teniour;taniour km 3;Sfax;SUC
044;EXIST Rue de la liberté;Rue de la liberté;tunis;SUC
045;Exist Bardo;Bardo;tunis;SUC
046;Exist Kef;Kef;KEF;SUC
047;Exist Siliana;siliana;SILIANA;SUC
048;Exist Beja;Beja;Beja;SUC
049;Exist Mall of Sfax;34, Habib Thamer;Sfax;SUC
050;Exist Jendouba;34, Habib Thamer;JENDOUBA;SUC
777;Depot X;;;SUC
880;DEPOT DEFAUT;SFAX;SFAX;SIE
900;FOUNISSEUR;;;SUC
999;SIEGE EXIST;SFAX;SFAX;SIE
MKT;MAGASIN TYPE;SFAX;SFAX;SIE
RET;Depot Retour;SFAX;SFAX;SIE
RTC;Depot Retouche;SFAX;SFAX;SIE
WEB;Web.magasin;SFAX;SFAX;ECO
